variant,recall_at_4,context_precision,context_recall,correctness,faithfulness,latency_ms,avg_context_tokens,token_cost_usd
baseline,0.0,,,,,42.25,460.0,
baseline+rerank,0.0,,,,,1232.75,480.0,
baseline+compression,0.0,,,,,43.5,119.0,
baseline+rerank+compression,0.0,,,,,721.0,119.0,
guardrails_before,,0.5,0.5,1.0,0.0,44.0,500.0,0.2
guardrails_before,,0.5,0.5,1.0,0.0,42.0,500.0,0.2
guardrails_before,,0.5,0.5,1.0,0.0,42.0,420.25,0.1681
guardrails_before,,0.5,0.5,0.0,1.0,44.0,420.25,0.1681
guardrails_after,,0.5,0.5,1.0,1.0,44.0,500.0,0.2
guardrails_after,,0.5,0.5,1.0,1.0,43.0,500.0,0.2
guardrails_after,,0.5,0.5,1.0,1.0,42.0,420.25,0.1681
guardrails_after,,0.5,0.5,1.0,1.0,42.0,420.25,0.1681
guardrails_before,,0.5,0.5,1.0,0.0,44.0,500.0,0.2
guardrails_before,,0.5,0.5,1.0,0.0,44.0,500.0,0.2
guardrails_before,,0.5,0.5,1.0,0.0,43.0,420.25,0.1681
guardrails_before,,0.5,0.5,0.0,1.0,44.0,420.25,0.1681
guardrails_after,,0.5,0.5,1.0,1.0,46.0,500.0,0.2
guardrails_after,,0.5,0.5,1.0,1.0,45.0,500.0,0.2
guardrails_after,,0.5,0.5,1.0,1.0,42.0,420.25,0.1681
guardrails_after,,0.5,0.5,1.0,1.0,42.0,420.25,0.1681
baseline,0.0,0.0,0.0,0.75,0.75,34.5,355.0,0.000355
baseline+rerank,0.0,0.0,0.0,0.75,0.75,549.5,355.0,0.000355
baseline+compression,0.0,0.0,0.0,0.75,0.75,35.0,90.0,8.999999999999999e-05
baseline+rerank+compression,0.0,0.0,0.0,0.75,0.75,547.0,89.75,8.974999999999999e-05
